Site_ID,campsite,dist,canopy,reps,basal_class,basal_percent,litter,temp,pH,GWC,BG_25,CB_25,NAG_25,PHOS_25,XYL_25,AG_25,LAP_25,BG_35,CB_35,NAG_35,PHOS_35,XYL_35,AG_35,LAP_35,TOC,EC,micC,soil_C,DOC,EN,micN,soil_N,TDN,SAC,SAN,C_N
485-07 Ca1C,485,Ca,1,C,1,5,0.00001,23.2,8.09,0.196,5.190337627,0.231639681,1.469486918,14.29463283,0.237404126,0.179759674,43.22526873,6.497619801,NA,NA,14.54300106,NA,NA,80.54164203,0.099,8913.7,1320548.148,1.3667,0.0205005,367.3,45345.67901,0.2602,0.003903,4.67E-06,4.74E-05,5.252498078
485-07 Ca1D,485,Ca,1,D,1,NA,6.2,24.3,7.54,0.26,22.57759108,1.729576858,4.273106794,27.44043653,1.141421039,1.171327267,54.1497803,45.31520695,1.80289598,9.76162352,46.73366995,1.350521294,0.41510245,113.3935847,0.285,850.7,126029.6296,4.4977,0.0674655,NA,NA,1.4889,0.0223335,0.000299547,0.000720379,3.02082074
485-07 Ca2A,485,Ca,2,A,1,1,0.00001,27.1,8.61,0.108,9.585737201,1.173848507,2.806965138,18.40818351,1.486359914,0.39809687,63.56002032,20.75190161,2.168227053,4.713848251,49.20672032,4.766497775,1.966359663,149.7358406,0.097,1515.4,224503.7037,1.5667,0.0235005,121.1,14950.61728,0.2291,0.0034365,9.42E-05,0.000491788,6.838498472
485-07 Ca2B,485,Ca,2,B,1,0,0,29.8,7.59,0.096,8.681689449,0.429719181,1.579961401,14.62445493,0.446144185,0.232619126,13.45838334,2.233845239,NA,0.571541248,3.633715103,-4.043507142,NA,24.36120232,0.073,2310.4,342281.4815,1.6427,0.0246405,124,15308.64198,0.326,0.00489,1.17E-05,5.84E-05,5.038957055
485-07 Ca2C,485,Ca,2,C,1,0,0,27.3,5.21,0.078,0.718214652,NA,4.200332454,7.840934675,NA,NA,5.987035881,2.908855177,1.821973901,5.096036018,10.33587723,2.090339648,2.204395091,10.23829679,0.065,311.4,46133.33333,1.6927,0.0253905,NA,NA,1.8879,0.0283185,0.000105605,0.000276608,0.896604693
485-07 Ca2D,485,Ca,2,D,1,5,5.4,24.6,6.47,0.135,15.76345194,0.572692932,2.576344182,21.62644376,2.785956928,0.159632521,28.89798138,43.89654083,1.369495756,5.974194025,45.19161222,1.878669122,0.063355382,68.83845499,0.161,7203.4,1067170.37,2.1107,0.0316605,829.7,102432.0988,0.5257,0.0078855,3.12E-05,4.98E-05,4.015027582
485-07 Co1A,485,Co,1,A,2,20,9.1,24.3,7.49,0.183,45.95541272,5.184449761,7.719431913,110.1749606,8.401462826,2.945215526,78.18569713,118.0740021,23.38741255,25.68156073,255.0126792,20.19034662,9.6409504,178.7780223,0.137,1542.8,228562.963,4.248,0.06372,268.2,33111.11111,0.798,0.01197,0.000511411,0.000635196,5.323308271
485-07 Co1B,485,Co,1,B,1,3,6.7,24.5,7.3,0.184,44.13917279,3.399624221,8.233861557,37.58458824,2.591862625,1.882758934,43.42241832,101.7325604,13.9783397,22.49336578,68.7774005,6.85415272,4.95681367,122.0858761,0.241,NA,NA,5.614,0.08421,NA,NA,1.049,0.015735,NA,NA,5.351763584
485-07 Co1C,485,Co,1,C,1,2,10.9,23.6,6.53,0.362,57.85207839,5.806288552,12.07277831,153.097602,7.713759389,3.87321408,89.15655316,129.3020153,17.78765112,29.75545089,299.6866551,14.63023863,7.349797209,187.1263337,0.216,10023.5,1484962.963,1.821,0.027315,924.6,114148.1481,1.4502,0.021753,8.23E-05,0.000107111,1.255688871
485-07 Co1D,485,Co,1,D,2,8,10.1,23.8,7.18,0.217,29.31032851,0.890619219,3.298559002,52.74560245,2.028370766,0.463209907,50.71135607,87.02396702,9.071095916,12.80365331,117.3767006,7.887201058,4.878134961,134.4581092,0.169,9037.5,1338888.889,2.547,0.038205,940.6,116123.4568,0.8422,0.012633,5.29E-05,7.52E-05,3.024222275
